,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
0,10006309,Regional South Australia,1710.0,1712.5,1805.0,1807.5
1,10143110,Perth,1960.0,1970.0,2150.0,2160.0
2,10143110,Sydney,1920.0,1935.0,2110.0,2125.0
3,10143110,Adelaide,1960.0,1970.0,2150.0,2160.0
4,10143110,Melbourne,1920.0,1935.0,2110.0,2125.0
5,10143110,Brisbane,1960.0,1970.0,2150.0,2160.0
6,10143136,Darwin,1970.0,1980.0,2160.0,2170.0
7,10143136,Canberra,1970.0,1980.0,2160.0,2170.0
8,10143136,Regional South East Australia,1975.0,1980.0,2165.0,2170.0
9,10143136,Regional Western Australia,1975.0,1980.0,2165.0,2170.0
10,10143136,Hobart,1970.0,1980.0,2160.0,2170.0
11,10143136,Perth,1970.0,1980.0,2160.0,2170.0
12,10143136,Melbourne,1970.0,1980.0,2160.0,2170.0
13,10143136,Adelaide,1970.0,1980.0,2160.0,2170.0
14,10143136,Sydney,1970.0,1980.0,2160.0,2170.0
15,10143136,Brisbane,1970.0,1980.0,2160.0,2170.0
16,10143466,Adelaide,1920.0,1930.0,2110.0,2120.0
17,10143466,Adelaide,1935.0,1940.0,2125.0,2130.0
18,10143466,Brisbane,1920.0,1930.0,2110.0,2120.0
19,10143466,Brisbane,1935.0,1940.0,2125.0,2130.0
20,10143466,Melbourne,1960.0,1970.0,2150.0,2160.0
21,10143466,Melbourne,1935.0,1940.0,2125.0,2130.0
22,10143466,Perth,1935.0,1940.0,2125.0,2130.0
23,10143466,Regional Western Australia,1965.0,1975.0,2155.0,2165.0
24,10143466,Regional South East Australia,1965.0,1975.0,2155.0,2165.0
25,10143466,Sydney,1960.0,1970.0,2150.0,2160.0
26,10143466,Sydney,1935.0,1940.0,2125.0,2130.0
27,10143466,Canberra,1960.0,1970.0,2150.0,2160.0
28,10143466,Canberra,1935.0,1940.0,2125.0,2130.0
29,10143466,Darwin,1920.0,1930.0,2110.0,2120.0
30,10143466,Darwin,1935.0,1940.0,2125.0,2130.0
31,10143466,Hobart,1920.0,1930.0,2110.0,2120.0
32,10143466,Perth,1920.0,1930.0,2110.0,2120.0
33,10143466,Hobart,1935.0,1940.0,2125.0,2130.0
34,10143562,Sydney,1940.0,1960.0,2130.0,2150.0
35,10143562,Brisbane,1940.0,1960.0,2130.0,2150.0
36,10143562,Melbourne,1940.0,1960.0,2130.0,2150.0
37,10143562,Canberra,1940.0,1960.0,2130.0,2150.0
38,10143562,Regional Western Australia,1960.0,1965.0,2150.0,2155.0
39,10143562,Hobart,1940.0,1960.0,2130.0,2150.0
40,10143562,Darwin,1940.0,1960.0,2130.0,2150.0
41,10143562,Regional South East Australia,1960.0,1965.0,2150.0,2155.0
42,10143562,Adelaide,1940.0,1960.0,2130.0,2150.0
43,10143562,Perth,1940.0,1960.0,2130.0,2150.0
44,10231258,Northern New South Wales (Grafton) + Western New South Wales (Dubbo),1750.0,1775.0,1845.0,1870.0
45,10231258,North Queensland (Cairns/Townsville) + Central Queensland (Mackay),1750.0,1775.0,1845.0,1870.0
46,10231258,Regional Western Australia,1750.0,1770.0,1845.0,1865.0
47,10231258,Regional South Australia,1750.0,1775.0,1845.0,1870.0
48,10231258,Tasmania,1765.0,1785.0,1860.0,1880.0
49,10231258,Southern New South Wales/Riverina (Albury),1780.0,1785.0,1875.0,1880.0
50,10231258,Darwin,1750.0,1775.0,1845.0,1870.0
51,10231258,South Queensland (Maryborough),1750.0,1770.0,1845.0,1865.0
52,10231258,Canberra (including south coast of NSW),1760.0,1780.0,1855.0,1875.0
53,10231258,Southern New South Wales/Riverina (Albury),1750.0,1770.0,1845.0,1865.0
54,10231258,Regional Victoria,1755.0,1775.0,1850.0,1870.0
55,10232073,Adelaide,1770.0,1775.0,1865.0,1870.0
56,10232073,South Queensland (Maryborough) + Northern New South Wales (Grafton),1775.0,1785.0,1870.0,1880.0
57,10232073,Regional South Australia,1775.0,1785.0,1870.0,1880.0
58,10232073,Tasmania,1755.0,1765.0,1850.0,1860.0
59,10232073,Regional Victoria,1745.0,1755.0,1840.0,1850.0
60,10232073,Southern New South Wales/Riverina (Albury),1770.0,1780.0,1865.0,1875.0
61,10232073,Darwin,1775.0,1785.0,1870.0,1880.0
62,10232073,Western New South Wales (Dubbo),1780.0,1785.0,1875.0,1880.0
63,10232073,Canberra (including south coast of NSW),1750.0,1760.0,1845.0,1855.0
64,10235466,North Queensland (Cairns/Townsville),1775.0,1785.0,1870.0,1880.0
65,10235466,South Queensland (Maryborough),1770.0,1775.0,1865.0,1870.0
66,10235466,Canberra (including south coast of NSW),1735.0,1750.0,1830.0,1845.0
67,10235466,Canberra (including south coast of NSW),1780.0,1785.0,1875.0,1880.0
68,10235466,Regional Victoria,1775.0,1785.0,1870.0,1880.0
69,10235466,Regional Western Australia,1770.0,1780.0,1865.0,1875.0
70,10388332,Central Australia,2337.0,2365.0,,
71,10388332,Gold Fields,2337.0,2365.0,,
72,10388332,Kimberley,2365.0,2400.0,,
73,10388332,Midwest RQZ,2337.0,2365.0,,
74,10388332,Telfer Mine,2302.0,2400.0,,
75,10388334,Canberra A,3542.5,3547.0,,
76,10388334,Brisbane B,3542.5,3575.0,,
77,10388334,Rockhampton,3542.5,3547.0,,
78,10388334,Toowoomba,3542.5,3547.0,,
79,10388433,Adelaide,1930.0,1935.0,2120.0,2125.0
80,10388433,Canberra B,1920.0,1930.0,2110.0,2120.0
81,10388433,Brisbane A,1930.0,1935.0,2120.0,2125.0
82,10388433,Perth,1930.0,1935.0,2120.0,2125.0
83,10388433,Canberra A,1930.0,1935.0,2120.0,2125.0
84,10388433,Darwin,1930.0,1935.0,2120.0,2125.0
85,10388433,Hobart,1930.0,1935.0,2120.0,2125.0
86,10391280,National,733.0,738.0,788.0,793.0
87,10391286,National,738.0,748.0,793.0,803.0
88,10424434,Regional WA,1780.0,1785.0,1875.0,1880.0
89,10424436,Hobart,1960.0,1970.0,2150.0,2160.0
90,10424436,Darwin,1960.0,1970.0,2150.0,2160.0
91,10424514,Delamere,2302.0,2400.0,,
92,10424514,Cameron Corner,2365.0,2400.0,,
93,10424514,Geraldton/Kalgoorlie,2365.0,2400.0,,
94,10424532,Outer ACT 1,2302.0,2330.0,,
95,10424532,NSW EAST,2393.0,2400.0,,
96,10424532,Melbourne,2393.0,2400.0,,
97,10424532,Outer ACT 2,2302.0,2330.0,,
98,10424532,Outer ACT 3,2302.0,2330.0,,
99,10427561,Tasmania,1750.0,1755.0,1845.0,1850.0
100,10427561,Mackay,1775.0,1785.0,1870.0,1880.0
101,10427561,Dubbo,1775.0,1780.0,1870.0,1875.0
102,10435053,Perth,1710.0,1730.0,1805.0,1825.0
103,10435053,Regional Western Australia,1710.0,1750.0,1805.0,1845.0
104,10435053,Tasmania,1710.0,1745.0,1805.0,1840.0
105,10435053,ACT and South Coast NSW,1710.0,1730.0,1805.0,1825.0
106,10435053,Darwin,1710.0,1745.0,1805.0,1840.0
107,10435053,Adelaide,1710.0,1730.0,1805.0,1825.0
108,10435053,Merge: North East and South Central NSW + Merge: South Queensland + North and Central Queensland,1710.0,1750.0,1805.0,1845.0
109,10435053,Regional South Australia,1710.0,1750.0,1805.0,1845.0
110,10435053,Regional Victoria,1710.0,1745.0,1805.0,1840.0
111,10435053,Sydney,1710.0,1725.0,1805.0,1820.0
112,10435053,Melbourne,1710.0,1725.0,1805.0,1820.0
113,10435053,Brisbane,1710.0,1730.0,1805.0,1825.0
114,10498938,Adelaide Rim NE,3542.5,3575.0,,
115,10498938,Adelaide Rim S,3542.5,3575.0,,
116,10498938,Launceston,3542.5,3575.0,,
117,10498938,Hobart,3542.5,3575.0,,
118,10498938,Perth,3542.5,3575.0,,
119,10498938,Cairns,3542.5,3575.0,,
120,10498938,Canberra,3547.0,3575.0,,
121,10498938,Toowoomba,3547.0,3575.0,,
122,10498938,Rockhampton,3547.0,3575.0,,
123,10498938,Ballarat-Bendigo,3542.5,3575.0,,
124,10498938,Wodonga,3542.5,3575.0,,
125,10498938,Townsville,3542.5,3575.0,,
126,10498938,Adelaide,3547.0,3575.0,,
127,10914942,Perth - lower/upper,3575.0,3605.0,,
128,10914942,Sydney,3575.0,3635.0,,
129,10914942,Melbourne,3575.0,3635.0,,
130,10914942,Adelaide,3575.0,3610.0,,
131,10914942,Canberra,3575.0,3605.0,,
132,10914942,Regional Southern/Western NSW,3575.0,3640.0,,
133,10914942,Brisbane,3575.0,3605.0,,
134,10914942,Regional Western Australia,3575.0,3655.0,,
135,10914942,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3575.0,3625.0,,
136,10914942,Merge: Regional Victoria + Tasmania,3575.0,3625.0,,
137,10914942,Regional South Australia,3575.0,3650.0,,
138,10917462,Merge: Regional Southern/Western NSW + Regional South Australia,3670.0,3700.0,,
139,10917462,Merge: Regional Victoria + Tasmania,3665.0,3700.0,,
140,10917462,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3665.0,3700.0,,
141,10917463,Perth - lower/upper,3605.0,3640.0,,
142,10917463,Sydney,3635.0,3640.0,,
143,10917463,Melbourne,3695.0,3700.0,,
144,10917463,Brisbane,3665.0,3700.0,,
145,10917463,Adelaide,3670.0,3700.0,,
146,10917463,Canberra,3605.0,3640.0,,
147,10917464,Brisbane,3605.0,3665.0,,
148,10917464,Canberra,3640.0,3700.0,,
