LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
10143110,Perth,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10143110,Sydney,1920.0,1935.0,15.0,2110.0,2125.0,15.0,30.0,2 GHz Band
10143110,Adelaide,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10143110,Melbourne,1920.0,1935.0,15.0,2110.0,2125.0,15.0,30.0,2 GHz Band
10143110,Brisbane,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10143136,Darwin,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Canberra,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Regional South East Australia,1975.0,1980.0,5.0,2165.0,2170.0,5.0,10.0,2 GHz Band
10143136,Regional Western Australia,1975.0,1980.0,5.0,2165.0,2170.0,5.0,10.0,2 GHz Band
10143136,Hobart,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Perth,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Melbourne,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Adelaide,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Sydney,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143136,Brisbane,1970.0,1980.0,10.0,2160.0,2170.0,10.0,20.0,2 GHz Band
10143466,Adelaide,1920.0,1930.0,10.0,2110.0,2120.0,10.0,20.0,2 GHz Band
10143466,Adelaide,1935.0,1940.0,5.0,2125.0,2130.0,5.0,10.0,2 GHz Band
10143466,Brisbane,1920.0,1930.0,10.0,2110.0,2120.0,10.0,20.0,2 GHz Band
10143466,Brisbane,1935.0,1940.0,5.0,2125.0,2130.0,5.0,10.0,2 GHz Band
10143466,Melbourne,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10143466,Melbourne,1935.0,1940.0,5.0,2125.0,2130.0,5.0,10.0,2 GHz Band
10143466,Perth,1935.0,1940.0,5.0,2125.0,2130.0,5.0,10.0,2 GHz Band
