bands/lf,bands/uf,bands/s,bands/u,bands/v
8300,11300,Space Science,Met Office,1
9000,148500,Licence exempt,Metal Detectors,1
9000,185000,Licence exempt,Inductive Applications,1
9000,315000,Licence exempt,Active Medical Implants,1
9000,250000000000,N/A,Non-operational Development,0
9000,250000000000,N/A,Non-operational Temporary Use,0
9000,270000000000,N/A,Ultra-Wideband,0
14000,19950,Public sector,Military,1
19950,20050,Space Science,Standard Frequency and Time Signal,1
20050,59750,Public sector,Military,1
59750,60250,Space Science,Standard Frequency and Time Signal,1
60250,70000,Public sector,Military,1
72000,84000,Public sector,Military,1
86000,90000,Public sector,Military,1
110000,112000,Public sector,Military,1
115000,117600,Public sector,Military,1
117600,126000,Public sector,Military,1
130000,148500,Public sector,Military,1
135700,137800,Amateur,Amateur Radio Foundation Licence,1
135700,137800,Amateur,Amateur Radio Full Licence,1
135700,137800,Amateur,Amateur Radio Intermediate Licence,1
148500,283500,Broadcasting,Transmission of National and Local Radio Broadcasting Services (LW),1
148500,1600000,Licence exempt,Inductive Applications,1
240000,315000,Licence exempt,Inductive Applications,1
255000,283500,Aeronautical,Aeronautical Navigation Aid Stations,1
255000,495000,Public sector,Military,1
283500,315000,Aeronautical,Aeronautical Navigation Aid Stations,1
283500,315000,Maritime,Maritime Navigational Aids and Radar,1
283500,315000,Maritime,Maritime Radio (Suppliers and Demonstration),1
283750,315000,Maritime,Differential Global Positioning System,1
300000,30000000,Licence exempt,Active Medical Implants,1
315000,325000,Aeronautical,Aeronautical Navigation Aid Stations,1
315000,600000,Licence exempt,Animal Implantable Devices,1
325000,405000,Aeronautical,Aeronautical Navigation Aid Stations,1
400000,600000,Licence exempt,Inductive Applications,1
415000,435000,Aeronautical,Aeronautical Navigation Aid Stations,1
415000,526500,Maritime,Maritime Radio (Suppliers and Demonstration),1
415000,526500,Maritime,Ship Radio,1
435000,495000,Aeronautical,Aeronautical Navigation Aid Stations,1
435000,495000,Maritime,Differential Global Positioning System,1
442200,450000,Licence exempt,Non-Specific Short Range Devices,1
456900,457100,Licence exempt,Devices for locating victims in distress or at risk,1
457000,457001,Licence exempt,Emergency detection,1
505000,526500,Aeronautical,Aeronautical Navigation Aid Stations,1
505000,526500,Maritime,Differential Global Positioning System,1
505000,526500,Public sector,Military,1
516000,8516000,Licence exempt,Railway Applications,1
526500,1605500,Broadcasting,Restricted Radio Services Transmission (Class A - Freely Radiating),1
526500,1605500,Broadcasting,Transmission of National and Local Radio Broadcasting Services (MW),1
984000,7484000,Licence exempt,Railway Applications,1
1600000,3000000,Licence exempt,Inductive Applications,1
1605000,27500000,Maritime,Ship Radio,1
1606500,1625000,Public sector,Military,1
1606500,4000000,Maritime,Maritime Navigational Aids and Radar,1
1606500,27500000,Maritime,Maritime Radio (Suppliers and Demonstration),1
1625000,1635000,Maritime,Differential Global Positioning System,1
1635000,1810000,Public sector,Military,1
1642000,1782000,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
1800000,1810000,Maritime,Differential Global Positioning System,1
1810000,1830000,Amateur,Amateur Radio Foundation Licence,1
1810000,2000000,Amateur,Amateur Radio Full Licence,1
1810000,2000000,Amateur,Amateur Radio Intermediate Licence,1
1830000,1850000,Amateur,Amateur Radio Foundation Licence,1
1850000,2000000,Amateur,Amateur Radio Foundation Licence,1
1850000,2000000,Maritime,Differential Global Positioning System,1
1850000,2170000,Public sector,Military,1
2000000,2025000,Maritime,Differential Global Positioning System,1
2160000,2170000,Maritime,Differential Global Positioning System,1
2190500,2498000,Public sector,Military,1
2498000,2501000,Space Science,Standard Frequency and Time Signal,1
2501000,2502000,,,0
2501000,2502000,Space Science,Standard Frequency and Time Signal,1
2502000,2850000,Public sector,Military,1
2625000,2650000,Maritime,Differential Global Positioning System,1
2650000,2850000,Maritime,Differential Global Positioning System,1
2850000,3025000,Aeronautical,Aeronautical Ground Station (High Frequency),1
