FREQUENCY,BW,Licences,TYPE
700,30.0,3.0,UPLINK
700,0.0,0.0,LINK
700,36.0,1.0,UNALLOCATED
700,34.0,5.0,DOWNLINK
800,49.9,7.0,UPLINK
800,0.0,0.0,LINK
800,21.0,2.0,DOWNLINK
800,29.099999999999994,1.0,UNALLOCATED
900,0.0,0.0,LINK
900,50.3,1.0,UNALLOCATED
900,34.8,4.0,DOWNLINK
900,14.9,2.0,UPLINK
1000,,,UPLINK
1000,,1.0,UNALLOCATED
1000,,,LINK
1000,,,DOWNLINK
1100,,,LINK
1100,,,UPLINK
1100,,1.0,UNALLOCATED
1100,,,DOWNLINK
1200,,1.0,UNALLOCATED
1200,,,DOWNLINK
1200,,,UPLINK
1200,,,LINK
1300,,,DOWNLINK
1300,,,UPLINK
1300,,,LINK
1300,,1.0,UNALLOCATED
1400,0.0,0.0,UPLINK
1400,0.0,0.0,LINK
1400,60.0,1.0,UNALLOCATED
1400,40.0,2.0,DOWNLINK
1500,,1.0,UNALLOCATED
1500,,,LINK
1500,,,DOWNLINK
1500,,,UPLINK
1600,,,DOWNLINK
1600,,1.0,UNALLOCATED
1600,,,LINK
1600,,,UPLINK
1700,74.9,5.0,UPLINK
1700,25.099999999999994,1.0,UNALLOCATED
1700,0.0,0.0,DOWNLINK
1700,0.0,0.0,LINK
1800,74.9,5.0,DOWNLINK
1800,0.0,0.0,UPLINK
1800,5.099999999999994,1.0,UNALLOCATED
1800,20.0,1.0,LINK
1900,20.1,3.0,LINK
1900,59.7,4.0,UPLINK
1900,0.0,0.0,DOWNLINK
1900,20.200000000000003,1.0,UNALLOCATED
2000,,,LINK
2000,,,UPLINK
2000,,,DOWNLINK
2000,,1.0,UNALLOCATED
2100,40.6,1.0,UNALLOCATED
2100,0.0,0.0,UPLINK
2100,59.4,4.0,DOWNLINK
2100,0.0,0.0,LINK
2200,,1.0,UNALLOCATED
2200,,,LINK
2200,,,DOWNLINK
2200,,,UPLINK
2300,0.0,0.0,UPLINK
2300,40.0,1.0,LINK
2300,60.0,1.0,UNALLOCATED
2300,0.0,0.0,DOWNLINK
2400,,,LINK
2400,,,UPLINK
2400,,1.0,UNALLOCATED
2400,,,DOWNLINK
2500,70.0,3.0,UPLINK
2500,30.0,2.0,LINK
2500,0.0,1.0,UNALLOCATED
2500,0.0,0.0,DOWNLINK
2600,10.0,1.0,UNALLOCATED
2600,20.0,1.0,LINK
2600,0.0,0.0,UPLINK
2600,70.0,3.0,DOWNLINK
2700,,,LINK
2700,,,DOWNLINK
2700,,1.0,UNALLOCATED
2700,,,UPLINK
2800,,,LINK
2800,,,DOWNLINK
2800,,1.0,UNALLOCATED
2800,,,UPLINK
2900,,,LINK
2900,,,DOWNLINK
2900,,,UPLINK
2900,,1.0,UNALLOCATED
3000,,,LINK
3000,,1.0,UNALLOCATED
3000,,,DOWNLINK
3000,,,UPLINK
3100,,1.0,UNALLOCATED
3100,,,UPLINK
3100,,,LINK
3100,,,DOWNLINK
3200,,1.0,UNALLOCATED
3200,,,DOWNLINK
3200,,,LINK
3200,,,UPLINK
3300,,,UPLINK
3300,,1.0,UNALLOCATED
3300,,,DOWNLINK
3300,,,LINK
3400,10.0,1.0,UNALLOCATED
3400,0.0,0.0,DOWNLINK
3400,0.0,0.0,UPLINK
3400,90.0,3.0,LINK
3500,0.0,0.0,DOWNLINK
3500,0.0,0.0,UPLINK
3500,0.0,1.0,UNALLOCATED
3500,100.0,3.0,LINK
3600,0.0,1.0,UNALLOCATED
3600,100.0,2.0,LINK
3600,0.0,0.0,DOWNLINK
3600,0.0,0.0,UPLINK
3700,0.0,0.0,UPLINK
3700,0.0,1.0,UNALLOCATED
3700,100.0,2.0,LINK
3700,0.0,0.0,DOWNLINK
3800,,,LINK
3800,,,UPLINK
3800,,,DOWNLINK
3800,,1.0,UNALLOCATED
3900,0.0,0.0,UPLINK
3900,25.0,1.0,UNALLOCATED
3900,75.0,1.0,LINK
3900,0.0,0.0,DOWNLINK
4000,0.0,0.0,UPLINK
4000,,0.0,DOWNLINK
4000,9.0,1.0,LINK
4000,91.0,1.0,UNALLOCATED
4100,,1.0,UNALLOCATED
4100,,,DOWNLINK
4100,,,LINK
4100,,,UPLINK
4200,,1.0,UNALLOCATED
4200,,,DOWNLINK
4200,,,UPLINK
4200,,,LINK
4300,,,DOWNLINK
4300,,,LINK
4300,,,UPLINK
4300,,1.0,UNALLOCATED
4400,,,UPLINK
4400,,1.0,UNALLOCATED
4400,,,DOWNLINK
4400,,,LINK
4500,,,UPLINK
4500,,,DOWNLINK
4500,,1.0,UNALLOCATED
4500,,,LINK
4600,,1.0,UNALLOCATED
4600,,,LINK
4600,,,DOWNLINK
4600,,,UPLINK
4700,,,LINK
4700,,,DOWNLINK
4700,,,UPLINK
4700,,1.0,UNALLOCATED
4800,,,LINK
4800,,1.0,UNALLOCATED
4800,,,UPLINK
4800,,,DOWNLINK
4900,,,LINK
4900,,1.0,UNALLOCATED
4900,,,DOWNLINK
4900,,,UPLINK
5000,,,DOWNLINK
5000,,,UPLINK
5000,,,LINK
5000,,1.0,UNALLOCATED
